Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
LAND ROVER,Range Rover Evoque,2.2 Station Wagon,Automatic,A6,2179,Diesel,7.9,5.7,6.5,35.8,49.6,43.5,174,5,72.0,146,,128,143,1.0,,"£1,843.48",H,£195.00,£107.25,£275.00,NA,,,
LAND ROVER,Range Rover Evoque,2.2 Station Wagon 2WD,Manual,M6,2179,Diesel,6.0,4.5,5.0,47.1,62.8,56.5,133,5,72.0,280,,121,150,5.0,,"£1,419.32",E,£120.00,£66.00,£120.00,£66.00,,,
LAND ROVER,Range Rover Sport,3.0 High Power (188 kW) - 2012 Model Year,Automatic,A8,2993,Diesel,9.8,8.1,8.8,28.8,34.9,32.1,230,5,73.0,386,,160,195,1.0,,"£2,498.18",L,£460.00,£253.00,£815.00,NA,,,
LAND ROVER,Range Rover Sport,3.0 Low Power (155 kW) - 2012 Model Year,Automatic,A8,2993,Diesel,9.7,7.8,8.5,29.1,36.2,33.2,224,5,73.0,435,,157,202,1.0,,"£2,415.40",K,£270.00,£148.50,£600.00,NA,,,
LAND ROVER,Range Rover Sport,3.0 TDV6 - 2011 Model Year,Automatic,A6,2993,Diesel,11.2,8.1,9.2,25.2,34.9,30.7,243,5,71.0,303,,177,215,0.0,,"£2,612.10",L,£460.00,£253.00,£815.00,NA,,,
LAND ROVER,Range Rover Sport,3.0 V6 - 2010 Model Year,Automatic,A6,2993,Diesel,11.2,8.1,9.2,25.2,34.9,30.7,243,5,71.0,303,,177,215,0.0,,"£2,612.10",L,£460.00,£253.00,£815.00,NA,,,
LAND ROVER,Range Rover Sport,5.0 V8 - 2010 Model Year,Automatic,A6,4999,Petrol,19.8,10.5,13.9,14.3,26.9,20.3,327,5,71.0,145,45,32,,,,"£3,735.33",M,£475.00,£261.25,"£1,030.00",NA,,,
LAND ROVER,Range Rover Sport,5.0 V8 - 2011 Model Year,Automatic,A6,4999,Petrol,19.8,10.5,13.9,14.3,26.9,20.3,327,5,71.0,145,45,32,,,,"£3,735.33",M,£475.00,£261.25,"£1,030.00",NA,,,
LAND ROVER,Range Rover Sport,5.0 V8 Super Charged - 2010 Model Year,Automatic,A6,4999,Petrol,21.8,10.7,14.9,13.0,26.4,19.0,348,5,72.0,311,44,21,,,,"£3,990.91",M,£475.00,£261.25,"£1,030.00",NA,,,
LAND ROVER,Range Rover Sport,5.0 V8 Super Charged - 2011 Model Year,Automatic,A6,4999,Petrol,21.8,10.7,14.9,13.0,26.4,19.0,348,5,72.0,311,44,21,,,,"£3,990.91",M,£475.00,£261.25,"£1,030.00",NA,,,
LEXUS,CT MY2011,CT200h,Automatic,E-CVT,1798,Petrol Hybrid,4.1,4.0,4.1,68.9,70.6,68.9,94,5,68.0,187,28,3,,,,"£1,101.00",A,£0.00,NA,£0.00,NA,,,
LEXUS,GS MY2012,GS250,Automatic,A6,2500,Petrol,12.4,6.9,8.9,22.8,40.9,31.7,207,5,68.7,154,42,25,,,,"£2,392.03",K,£270.00,£148.50,£600.00,NA,,,
LEXUS,GS MY2012,GS450h 18 inch wheels,Automatic,E-CVT,3456,Petrol Hybrid,6.7,5.5,6.1,42.2,51.4,46.3,141,5,70.1,185,31,6,,,,"£1,638.00",F,£135.00,£74.25,£135.00,£74.25,,,
LEXUS,GS MY2012,GS450h 19 inch wheels,Automatic,E-CVT,3456,Petrol Hybrid,6.9,5.7,6.2,40.9,49.6,45.6,145,5,70.0,185,31,6,,,,"£1,663.00",F,£135.00,£74.25,£135.00,£74.25,,,
LEXUS,IS F MY2012,ISF,Automatic,A8,4969,Petrol,17.3,8.4,11.6,16.3,33.6,24.4,270,5,72.0,117,21,3,,,,"£3,107.68",M,£475.00,£261.25,"£1,030.00",NA,,,
LEXUS,IS MY2011,IS200d,Manual,M6,2231,Diesel,6.3,4.4,5.1,44.8,64.2,55.4,134,5,71.0,184,,177,187,2.0,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
LEXUS,IS MY2012,IS250 Saloon,Automatic,A6,2500,Petrol,11.8,6.5,8.4,23.9,43.5,33.6,194,5,70.0,164,39,6,,,,"£2,256.76",J,£250.00,£137.50,£460.00,NA,,,
LEXUS,IS MY2012,IS250C,Automatic,A6,2500,Petrol,12.7,7.2,9.2,22.2,39.2,30.7,213,5,70.0,117,45,8,,,,"£2,469.94",K,£270.00,£148.50,£600.00,NA,,,
LEXUS,LFA MY2011,LFA,Automatic,A6,4805,Petrol,25.2,11.3,16.3,11.2,25.0,17.3,379,5,72.7,614,48,33,,,,"£4,383.08",M,£475.00,£261.25,"£1,030.00",NA,,,
LEXUS,LS MY2011,LS600h LWB,Automatic,E-CVT,4969,Petrol Hybrid,11.3,8.0,9.3,25.0,35.3,30.4,219,5,71.2,295,32,16,,,,"£2,494.00",K,£270.00,£148.50,£600.00,NA,,,
LEXUS,LS MY2011,LS600h SWB,Automatic,E-CVT,4969,Petrol Hybrid,11.2,8.0,9.3,25.2,35.3,30.4,218,5,71.2,295,32,15,,,,"£2,494.00",K,£270.00,£148.50,£600.00,NA,,,
LEXUS,RX MY2012,RX450h,Automatic,E-CVT,3456,Petrol Hybrid,6.5,6.0,6.3,43.5,47.1,44.8,145,5,71.6,245,23,7,,,,"£1,693.00",F,£135.00,£74.25,£135.00,£74.25,,,
LOTUS,Elise,Elise,Manual,M6,1598,Petrol,8.3,5.0,6.3,34.0,56.5,44.8,149,5,74.0,273,64,25,,,,"£1,692.57",F,£135.00,£74.25,£135.00,£74.25,,,
LOTUS,Elise,Elise R,Manual,M6,1796,Petrol,11.6,6.2,8.2,24.4,45.6,34.4,196,5,74.0,460,76,16,,,,"£2,204.28",J,£250.00,£137.50,£460.00,NA,,,
LOTUS,Elise,Elise SC,Manual,M6,1796,Petrol,11.8,6.4,8.5,23.9,44.1,33.2,199,5,75.0,623,93,23,,,,"£2,283.95",J,£250.00,£137.50,£460.00,NA,,,
LOTUS,Evora,Evora Sport Gearbox,Manual,M6,3456,Petrol,13.4,7.2,9.5,21.1,39.2,29.7,224,5,75.0,151,53,30,,,,"£2,553.11",K,£270.00,£148.50,£600.00,NA,,,
LOTUS,Evora,Evora Standard Gearbox,Manual,M6,3456,Petrol,12.4,6.5,8.7,22.8,43.5,32.5,205,5,75.0,169,49,16,,,,"£2,333.15",K,£270.00,£148.50,£600.00,NA,,,
LOTUS,Exige,Exige Cup 260,Manual,M6,1796,Petrol,11.9,6.5,8.5,23.7,43.5,33.2,199,5,75.0,442,60,36,,,,"£2,283.95",J,£250.00,£137.50,£460.00,NA,,,
LOTUS,Exige,Exige S,Manual,M6,1796,Petrol,11.9,6.5,8.5,23.7,43.5,33.2,199,5,75.0,442,60,36,,,,"£2,283.95",J,£250.00,£137.50,£460.00,NA,,,
LTI,Taxi - TX4,2.5 Automatic,Automatic,A5,2499,Diesel,11.0,7.0,8.4,25.7,40.3,33.6,222,5,71.4,106,,256,272,0.2,,"£2,386.65",K,£270.00,£148.50,£600.00,NA,,,
LTI,Taxi - TX4,2.5 Manual,Manual,M5,2499,Diesel,10.2,6.6,8.0,27.7,42.8,35.3,209,5,73.4,628,,251,313,0.2,,"£2,271.71",K,£270.00,£148.50,£600.00,NA,,,
MASERATI,Grancabrio,Automatic,Automatic,A6,4691,Petrol,22.5,9.8,14.5,12.5,28.8,19.5,337,5,73.8,532,53,35,,,,"£3,888.58",M,£475.00,£261.25,"£1,030.00",NA,,,
MASERATI,Grancabrio Sport,Automatic,Automatic,A6,4691,Petrol,22.5,9.8,14.5,12.5,28.8,19.5,337,5,72.6,539,47,19,,,,"£3,888.58",M,£475.00,£261.25,"£1,030.00",NA,,,
MASERATI,Granturismo,Automatic,Automatic,A6,4244,Petrol,21.5,10.0,14.3,13.1,28.2,19.8,330,5,74.0,468,33,29,,,,"£3,829.66",M,£475.00,£261.25,"£1,030.00",NA,,,
MASERATI,Granturismo,MC Stradale,Manual,M6,4691,Petrol,22.7,9.8,14.5,12.5,28.8,19.5,337,5,72.7,480,26,36,,,,"£3,888.58",M,£475.00,£261.25,"£1,030.00",NA,,,
MASERATI,Granturismo,S,Manual,M6,4691,Petrol,23.8,10.7,15.5,11.9,26.4,18.2,360,5,73.9,585,36,30,,,,"£4,166.33",M,£475.00,£261.25,"£1,030.00",NA,,,
MASERATI,Granturismo,S Automatic,Automatic,A6,4691,Petrol,21.9,9.8,14.3,12.9,28.8,19.7,331,5,73.3,506,39,24,,,,"£3,849.10",M,£475.00,£261.25,"£1,030.00",NA,,,
MASERATI,Quattroporte,Automatic,Automatic,A6,4244,Petrol,21.9,10.5,14.7,12.9,26.9,19.2,340,5,73.9,489,36,29,,,,"£3,949.34",M,£475.00,£261.25,"£1,030.00",NA,,,
MASERATI,Quattroporte,S,Automatic,A6,4691,Petrol,22.5,10.3,14.8,12.5,27.4,22.6,345,5,70.4,435,39,14,,,,"£3,355.19",M,£475.00,£261.25,"£1,030.00",NA,,,
MASERATI,Quattroporte,Sport GT S,Automatic,A6,4691,Petrol,22.5,10.3,14.8,12.5,27.4,22.6,345,5,72.1,477,40,19,,,,"£3,355.19",M,£475.00,£261.25,"£1,030.00",NA,,,
MAZDA,CX-5 Model Year 2012,2.0 SKYACTIV-G (165PS) 2WD,Manual,M6,1998,Petrol,7.5,5.1,6.0,37.7,55.4,47.1,139,5,70.4,155,29,8,,,,"£1,609.92",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,CX-7 Model Year 2009 ,2.2D,Manual,M6,2184,Diesel,9.1,6.6,7.5,31.0,42.8,37.7,199,5,69.8,210,,143,158,3.0,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
MAZDA,Mazda2 Model Year 2011,1.3 3/5 Door (75PS),Manual,M5,1349,Petrol,6.2,4.3,5.0,45.6,65.7,56.5,115,5,68.3,196,33,23,,,,"£1,342.08",C,£30.00,NA,£0.00,NA,,,
MAZDA,Mazda2 Model Year 2011,1.3 3/5 Door (84PS),Manual,M5,1349,Petrol,6.2,4.3,5.0,45.6,65.7,56.5,115,5,68.3,196,33,23,,,,"£1,342.08",C,£30.00,NA,£0.00,NA,,,
MAZDA,Mazda2 Model Year 2011,1.5 3/5 Door (102PS),Manual,M5,1498,Petrol,7.3,4.8,5.7,38.7,58.9,49.6,132,5,71.0,467,39,12,,,,"£1,528.78",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,Mazda2 Model Year 2011,1.5 3/5 Door (102PS),Automatic,A4,1498,Petrol,8.1,5.3,6.3,34.9,53.3,44.8,145,5,68.3,408,53,14,,,,"£1,692.57",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,Mazda2 Model Year 2011,1.6 3/5 Door,Manual,M5,1560,Diesel,5.0,3.7,4.2,56.5,76.3,67.3,110,5,70.3,260,,154,179,0.7,,"£1,191.55",B,£20.00,NA,£0.00,NA,,,
MAZDA,Mazda3 Model Year 2009,1.6 5 Door,Manual,M5,1598,Petrol,8.5,5.3,6.5,33.2,53.3,43.5,149,5,70.0,401,34,8,,,,"£1,743.16",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,Mazda3 Model Year 2009,1.6 5 Door,Automatic,A5,1598,Petrol,10.2,6.1,7.6,27.7,46.3,37.2,176,5,69.0,220,45,12,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
MAZDA,Mazda3 Model Year 2009,2.0 5 Door,Manual,M6,1999,Petrol,9.3,5.4,6.8,30.4,52.3,41.5,159,5,69.0,433,48,10,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
MAZDA,Mazda3 Model Year 2009,2.0 5 Door,Automatic,A5,1999,Petrol,10.6,5.8,7.6,26.6,48.7,37.2,175,5,70.0,223,34,28,,,,"£2,038.37",H,£195.00,£107.25,£275.00,NA,,,
MAZDA,Mazda3 Model Year 2009,2.2 (150PS) 5 Door,Manual,M6,2184,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,144,5,68.0,291,,165,190,0.4,,"£1,533.30",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,Mazda3 Model Year 2009,2.2 (185PS) 4/5 Door,Manual,M6,2184,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,5,68.0,287,,158,179,0.9,,"£1,591.10",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,Mazda3 Model Year 2009,MPS,Manual,M6,2261,Petrol,13.2,7.5,9.6,21.4,37.7,29.4,224,5,73.0,622,33,12,,,,"£2,579.16",K,£270.00,£148.50,£600.00,NA,,,
MAZDA,Mazda3 Model Year 2010,1.6 (115PS),Manual,M6,1560,Diesel,5.3,3.9,4.4,53.3,72.4,64.2,117,5,68.0,315,,148,175,0.9,,"£1,249.09",C,£30.00,NA,£0.00,NA,,,
MAZDA,Mazda3 Model Year 2012,1.6 (115PS),Manual,M6,1560,Diesel,5.3,3.8,4.3,53.3,74.3,65.7,115,5,68.0,182,,164,180,1.1,,"£1,220.57",C,£30.00,NA,£0.00,NA,,,
MAZDA,Mazda3 Model Year 2012,1.6 5 Door,Manual,M5,1598,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,147,5,70.0,413,38,4,,,,"£1,719.44",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,Mazda3 Model Year 2012,1.6 5 Door,Automatic,A5,1598,Petrol,10.2,6.1,7.6,27.7,46.3,37.2,176,5,69.0,220,45,12,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
MAZDA,Mazda3 Model Year 2012,2.0 5 Door,Manual,M6,1999,Petrol,9.1,5.3,6.7,31.0,53.3,42.2,157,5,69.0,268,28,13,,,,"£1,796.85",G,£170.00,£93.50,£170.00,£93.50,,,
MAZDA,Mazda3 Model Year 2012,2.0 5 Door,Automatic,A5,1999,Petrol,10.6,5.8,7.6,26.6,48.7,37.2,175,5,70.0,223,34,28,,,,"£2,038.37",H,£195.00,£107.25,£275.00,NA,,,
MAZDA,Mazda3 Model Year 2012,2.2 (150PS) 5 Door,Manual,M6,2184,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,5,68.0,203,,169,195,0.9,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,Mazda3 Model Year 2012,2.2 (185PS) 4/5 Door,Manual,M6,2184,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,144,5,68.0,189,,179,198,0.9,,"£1,533.30",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,Mazda3 Model Year 2012,MPS,Manual,M6,2261,Petrol,13.2,7.5,9.6,21.4,37.7,29.4,224,5,73.0,346,29,9,,,,"£2,579.16",K,£270.00,£148.50,£600.00,NA,,,
MAZDA,Mazda5 Model Year 2010,1.6 D,Manual,M6,1560,Diesel,6.4,4.6,5.2,44.1,61.4,54.3,138,5,68.6,155,,161,175,1.0,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,Mazda5 Model Year 2010,1.8 (115PS),Manual,M6,1798,Petrol,9.3,6.0,7.2,30.4,47.1,39.2,168,5,69.8,258,29,24,,,,"£1,934.37",H,£195.00,£107.25,£275.00,NA,,,
MAZDA,Mazda5 Model Year 2010,2.0 (150PS),Manual,M6,1998,Petrol,9.0,5.7,6.9,31.4,49.6,40.9,159,5,69.8,302,42,47,,,,"£1,853.97",G,£170.00,£93.50,£170.00,£93.50,,,
MAZDA,Mazda6 Model Year 2010,1.8 5 Door,Manual,M5,1798,Petrol,9.4,5.1,6.7,30.1,55.4,42.2,155,5,68.1,152,38,24,,,,"£1,796.85",G,£170.00,£93.50,£170.00,£93.50,,,
MAZDA,Mazda6 Model Year 2010,2.0 5 Door,Manual,M6,1999,Petrol,9.6,5.3,6.9,29.4,53.3,40.9,159,5,68.5,497,37,10,,,,"£1,853.97",G,£170.00,£93.50,£170.00,£93.50,,,
MAZDA,Mazda6 Model Year 2010,2.0 5 Door,Automatic,A5,1999,Petrol,10.7,5.8,7.6,26.4,48.7,37.2,176,5,69.1,324,34,4,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
MAZDA,Mazda6 Model Year 2010,2.0 Estate,Manual,M6,1999,Petrol,9.7,5.4,7.0,29.1,52.3,40.4,161,5,68.5,497,37,10,,,,"£1,876.91",G,£170.00,£93.50,£170.00,£93.50,,,
MAZDA,Mazda6 Model Year 2010,2.0 Estate,Automatic,A5,1999,Petrol,10.7,5.8,7.7,26.4,48.7,36.7,178,5,69.1,324,34,4,,,,"£2,066.14",I,£215.00,£118.25,£325.00,NA,,,
MAZDA,Mazda6 Model Year 2010,2.5 5 Door,Manual,M6,2488,Petrol,11.1,6.3,8.0,25.4,44.8,35.3,186,5,70.2,290,38,15,,,,"£2,148.08",J,£250.00,£137.50,£460.00,NA,,,
MAZDA,Mazda6 Model Year 2010,2.5 Estate,Manual,M6,2488,Petrol,11.2,6.4,8.1,25.2,44.1,34.9,188,5,70.2,290,38,15,,,,"£2,172.70",J,£250.00,£137.50,£460.00,NA,,,
MAZDA,Mazda6 Model Year 2011,2.2 5 Door (129PS),Manual,M6,2184,Diesel,6.4,4.3,5.1,44.1,65.7,55.4,133,5,69.6,189,,171,192,0.4,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,Mazda6 Model Year 2011,2.2 5 Door (163PS),Manual,M6,2184,Diesel,6.8,4.5,5.3,41.5,62.8,53.3,140,5,73.4,295,,151,171,0.6,,"£1,504.53",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,Mazda6 Model Year 2011,2.2 5 Door (180PS),Manual,M6,2184,Diesel,6.8,4.5,5.3,41.5,62.8,53.3,140,5,73.4,295,,151,171,0.6,,"£1,504.53",E,£120.00,£66.00,£120.00,£66.00,,,
MAZDA,Mazda6 Model Year 2011,2.2 Estate (163PS),Manual,M6,2184,Diesel,6.8,4.5,5.3,41.5,62.8,53.3,141,5,73.4,295,,151,171,0.6,,"£1,504.53",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,Mazda6 Model Year 2011,2.2 Estate (180PS),Manual,M6,2184,Diesel,6.8,4.5,5.3,41.5,62.8,53.3,141,5,73.4,295,,151,171,0.6,,"£1,504.53",F,£135.00,£74.25,£135.00,£74.25,,,
MAZDA,MX-5 Model Year 2011,1.8,Manual,M5,1798,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,167,5,71.0,213,34,13,,,,"£1,905.21",H,£195.00,£107.25,£275.00,NA,,,
MAZDA,MX-5 Model Year 2011,2.0,Manual,M5,1999,Petrol,10.7,5.9,7.6,26.4,47.9,37.2,177,5,71.0,198,23,10,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
MAZDA,MX-5 Model Year 2011,2.0,Manual,M6,1999,Petrol,10.9,6.1,7.8,25.9,46.3,36.2,181,5,70.0,149,21,11,,,,"£2,094.68",I,£215.00,£118.25,£325.00,NA,,,
MAZDA,MX-5 Model Year 2011,2.0,Automatic,A6,1999,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,188,5,68.0,370,39,20,,,,"£2,148.08",J,£250.00,£137.50,£460.00,NA,,,
MCLAREN,MP4-12C,2 door 2 seater coupé sports muffler,Automatic,7SP. SSG,3798,Petrol,18.5,7.8,11.7,15.3,36.3,24.2,279,5,73.7,534,54,30,,,,"£3,133.36",M,£475.00,£261.25,"£1,030.00",NA,,,
MCLAREN,MP4-12C,2 door 2 seater coupé standard muffler,Automatic,7SP. SSG,3798,Petrol,18.5,7.8,11.7,15.3,36.3,24.2,279,5,71.0,534,54,30,,,,"£3,133.36",M,£475.00,£261.25,"£1,030.00",NA,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 CDI with 15 inch rear wheels,Manual,M5,1991,Diesel,5.4,3.9,4.5,52.3,72.4,62.8,118,5,70.0,392,,147,178,1.0,,"£1,276.93",C,£30.00,NA,£0.00,NA,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 CDI with 15 inch rear wheels,Automatic,CVT,1991,Diesel,7.0,4.4,5.4,40.4,64.2,52.3,142,5,71.0,120,,153,169,1.0,,"£1,533.30",F,£135.00,£74.25,£135.00,£74.25,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 CDI with 16 inch rear wheels,Manual,M5,1991,Diesel,5.6,4.0,4.6,50.4,70.6,61.4,122,5,70.0,392,,147,178,1.0,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 CDI with 16 inch rear wheels,Automatic,CVT,1991,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,147,5,71.0,120,,153,169,1.0,,"£1,591.10",F,£135.00,£74.25,£135.00,£74.25,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 CDI with 17 inch & 18 inch rear wheels,Manual,M5,1991,Diesel,5.8,4.1,4.7,48.7,68.9,60.1,125,5,70.0,392,,147,178,1.0,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 CDI with 17 inch & 18 inch rear wheels,Automatic,CVT,1991,Diesel,7.6,4.9,5.8,37.2,57.6,48.7,154,5,71.0,120,,153,169,1.0,,"£1,646.64",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 with 15 inch rear wheels,Manual,M5,1498,Petrol,7.5,5.1,6.0,37.7,55.4,47.1,139,5,71.0,294,21,5,,,,"£1,609.92",E,£120.00,£66.00,£120.00,£66.00,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 with 15 inch rear wheels,Automatic,CVT,1498,Petrol,8.7,5.7,6.8,32.5,49.6,41.5,159,5,72.0,207,32,16,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 with 16 inch rear wheels,Manual,M5,1498,Petrol,7.7,5.2,6.2,36.7,54.3,45.6,143,5,71.0,294,21,5,,,,"£1,662.88",F,£135.00,£74.25,£135.00,£74.25,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 with 16 inch rear wheels,Automatic,CVT,1498,Petrol,8.9,6.0,7.0,31.7,47.1,40.4,164,5,72.0,207,32,16,,,,"£1,876.91",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 with 17 inch & 18 inch rear wheels,Manual,M5,1498,Petrol,7.8,5.2,6.2,36.2,54.3,45.6,143,5,71.0,294,21,5,,,,"£1,662.88",F,£135.00,£74.25,£135.00,£74.25,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 160 with 17 inch & 18 inch rear wheels,Automatic,CVT,1498,Petrol,8.7,6.2,7.2,32.5,45.6,39.2,168,5,72.0,207,31,16,,,,"£1,934.37",H,£195.00,£107.25,£275.00,NA,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 CDI with 15 inch rear wheels,Manual,M6,1991,Diesel,6.1,4.2,4.9,46.3,67.3,57.6,128,5,72.0,167,,134,157,1.0,,"£1,392.21",D,£100.00,£55.00,£0.00,NA,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 CDI with 15 inch rear wheels,Automatic,CVT,1991,Diesel,7.0,4.4,5.4,40.4,64.2,52.3,142,5,71.0,120,,153,169,1.0,,"£1,533.30",F,£135.00,£74.25,£135.00,£74.25,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 CDI with 16 inch rear wheels,Manual,M6,1991,Diesel,6.4,4.3,5.1,44.1,65.7,55.4,136,5,72.0,167,,134,157,1.0,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 CDI with 16 inch rear wheels,Automatic,CVT,1991,Diesel,6.7,4.8,5.5,42.2,58.9,51.4,144,5,71.0,121,,153,169,1.0,,"£1,560.14",F,£135.00,£74.25,£135.00,£74.25,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 CDI with 17 inch & 18 inch rear wheels,Manual,M6,1991,Diesel,6.5,4.4,5.2,43.5,64.2,54.3,138,5,72.0,167,,134,157,1.0,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 CDI with 17 inch & 18 inch rear wheels,Automatic,CVT,1991,Diesel,7.6,4.9,5.8,37.2,57.6,48.7,154,5,71.0,120,,153,169,1.0,,"£1,646.64",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 with 15 inch rear wheels,Manual,M5,1699,Petrol,8.1,5.2,6.3,34.9,54.3,44.8,145,5,71.0,145,26,12,,,,"£1,692.57",F,£135.00,£74.25,£135.00,£74.25,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 with 15 inch rear wheels,Automatic,CVT,1699,Petrol,8.8,5.7,6.8,32.1,49.6,41.5,159,5,71.0,163,27,23,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 with 16 inch rear wheels,Manual,M5,1699,Petrol,8.2,5.4,6.5,34.4,52.3,43.5,151,5,71.0,114,26,12,,,,"£1,743.16",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 with 16 inch rear wheels,Automatic,CVT,1699,Petrol,9.1,5.9,7.1,31.0,47.9,39.8,168,5,71.0,163,28,23,,,,"£1,905.21",H,£195.00,£107.25,£275.00,NA,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 with 17 inch & 18 inch rear wheels,Manual,M5,1699,Petrol,8.2,5.7,6.6,34.4,49.6,42.8,153,5,71.0,114,26,12,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
MERCEDES-BENZ,A-Class 5 Door Model Year 2011,A 180 with 17 inch & 18 inch rear wheels,Automatic,CVT,1699,Petrol,9.2,6.2,7.3,30.7,45.6,38.7,171,5,71.0,163,27,23,,,,"£1,959.36",H,£195.00,£107.25,£275.00,NA,,,
MERCEDES-BENZ,B-Class Model Year 2012,B 180 CDI with 16 inch rear wheels,Manual,M6,1796,Diesel,5.4,3.8,4.4,52.3,74.3,64.2,115,5,72.0,348,,150,175,0.1,,"£1,249.09",C,£30.00,NA,£0.00,NA,,,
MERCEDES-BENZ,B-Class Model Year 2012,B 180 CDI with 16 inch rear wheels,Automatic,A7,1796,Diesel,5.3,3.9,4.4,53.3,72.4,64.2,116,5,71.0,227,,160,179,0.5,,"£1,249.09",C,£30.00,NA,£0.00,NA,,,
MERCEDES-BENZ,B-Class Model Year 2012,B 180 CDI with 17 inch rear wheels,Manual,M6,1796,Diesel,5.5,4.0,4.5,51.4,70.6,62.8,118,5,72.0,348,,150,175,0.1,,"£1,276.93",C,£30.00,NA,£0.00,NA,,,
MERCEDES-BENZ,B-Class Model Year 2012,B 180 CDI with 17 inch rear wheels,Automatic,A7,1796,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,119,5,71.0,227,,160,179,0.5,,"£1,306.05",C,£30.00,NA,£0.00,NA,,,
